#Pin Out file generated by Lattice Diamond Version 1.4.1.91
#Generated at Fri Mar 30 06:47:36 2012
#DEVICE=LCMXO2280C
#PACKAGE=FTBGA256
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
215, GNDIO3, , , -, , GND, , +, 
216, VCCIO3, , 3, -, , VCCIO3, , +, 
217, PR11D, IO, 3, -, COMP_OF_PR11C, K12, , +, 
218, PR11C, IO, 3, -, TRUE_OF_PR11D, J12, , +, 
219, PR11B, IO, 3, -, COMP_OF_PR11A(LVDS)*, J16, , +, 
220, PR11A, IO, 3, -, TRUE_OF_PR11B(LVDS)*, H16, , +, 
221, PR10D, IO, 2, -, COMP_OF_PR10C, H15, , -, 
222, PR10C, IO, 2, -, TRUE_OF_PR10D, G15, , -, 
223, PR10B, IO, 2, -, COMP_OF_PR10A(LVDS)*, H14, , -, 
224, PR10A, IO, 2, -, TRUE_OF_PR10B(LVDS)*, G14, , -, 
225, GNDIO2, , , -, , GND, , +, 
226, VCCIO2, , 2, -, , VCCIO2, , +, 
227, PR9D, IO, 2, -, COMP_OF_PR9C, H13, , +, 
228, PR9C, IO, 2, -, TRUE_OF_PR9D, H12, , +, 
229, PR9B, IO, 2, -, COMP_OF_PR9A(LVDS)*, G13, , +, 
230, PR9A, IO, 2, -, TRUE_OF_PR9B(LVDS)*, G12, , +, 
231, PR8D, IO, 2, -, COMP_OF_PR8C, -, , +, 
232, VCC, , , -, , VCC, , +, 
233, PR8C, IO, 2, -, TRUE_OF_PR8D, -, , +, 
234, PR8B, IO, 2, -, COMP_OF_PR8A(LVDS)*, -, , +, 
235, PR8A, IO, 2, -, TRUE_OF_PR8B(LVDS)*, -, , +, 
236, PR7D, IO, 2, -, COMP_OF_PR7C, G16, , +, 
237, PR7C, IO, 2, -, TRUE_OF_PR7D, F16, , +, 
238, PR7B, IO, 2, -, COMP_OF_PR7A(LVDS)*, F15, , +, 
239, PR7A, IO, 2, -, TRUE_OF_PR7B(LVDS)*, E15, , +, 
240, PR6D, IO, 2, -, COMP_OF_PR6C, E16, , +, 
241, PR6C, IO, 2, -, TRUE_OF_PR6D, D16, , +, 
242, VCCIO2, , 2, -, , VCCIO2, , +, 
243, GNDIO2, , , -, , GND, , -, 
244, PR6B, IO, 2, -, COMP_OF_PR6A(LVDS)*, D15, , -, 
245, PR6A, IO, 2, -, TRUE_OF_PR6B(LVDS)*, C15, , -, 
246, PR5D, IO, 2, -, COMP_OF_PR5C, C16, , -, 
247, PR5C, IO, 2, -, TRUE_OF_PR5D, B16, , -, 
248, PR5B, IO, 2, -, COMP_OF_PR5A(LVDS)*, F14, , -, 
249, PR5A, IO, 2, -, TRUE_OF_PR5B(LVDS)*, E14, , -, 
250, GND, , , -, , GND, , +, 
251, PR4D, IO, 2, -, COMP_OF_PR4C, F12, , +, 
252, PR4C, IO, 2, -, TRUE_OF_PR4D, F13, , +, 
253, PR4B, IO, 2, -, COMP_OF_PR4A(LVDS)*, E12, , +, 
254, PR4A, IO, 2, -, TRUE_OF_PR4B(LVDS)*, E13, , +, 
255, PR3D, IO, 2, -, COMP_OF_PR3C, -, , +, 
256, PR3C, IO, 2, -, TRUE_OF_PR3D, -, , +, 
257, PR3B, IO, 2, -, COMP_OF_PR3A(LVDS)*, D13, , +, 
258, PR3A, IO, 2, -, TRUE_OF_PR3B(LVDS)*, D14, , +, 
259, PR2B, IO, 2, -, COMP_OF_PR2A, -, , +, 
260, VCCIO2, , 2, -, , VCCIO2, , +, 
261, GNDIO2, , , -, , GND, , -, 
262, -, , , -, , -, , -, 
263, -, , , -, , -, , -, 
264, GNDIO1, , , -, , GND, , +, 
265, VCCIO1, , 1, -, , VCCIO1, , +, 
266, PR2A, IO, 2, -, TRUE_OF_PR2B, -, , -, 
267, PT16D, IO, 1, -, COMP_OF_PT16C, B15, , +, 
268, PT16C, IO, 1, -, TRUE_OF_PT16D, A15, , +, 
269, PT16B, IO, 1, -, COMP_OF_PT16A, C14, , +, 
270, PT16A, IO, 1, -, TRUE_OF_PT16B, B14, , +, 
271, PT15D, IO, 1, -, COMP_OF_PT15C, C13, , +, 
272, PT15C, IO, 1, -, TRUE_OF_PT15D, B13, , +, 
273, PT15B, IO, 1, -, COMP_OF_PT15A, E11, , +, 
274, PT15A, IO, 1, -, TRUE_OF_PT15B, E10, , +, 
275, VCC, , , -, , VCC, , +, 
276, PT14D, IO, 1, -, COMP_OF_PT14C, D12, , +, 
